Localizacao,Populacao,% do mundo,PIB nominal per capita,PIB PPP per capita,Forca de trabalho
,,,,,
Mundo,8.232.000.000,100%,13.673,20.946,3.684.278.700
India,1.417.492.000,"17,30%",2.697,8.400,607.691.000
China,1.408.280.000,"17,20%",13.303,21.483,773.880.000
Estados Unidos,340.110.988,"4,10%",85.810,76.330,174.174.000
Indonesia,284.438.782,"3,50%",4.925,14.658,143.144.000
Paquistao,241.499.431,"2,90%",1.484,6.351,83.644.000
Nigeria,223.800.000,"2,70%",807,5.862,113.350.000
Brasil,213.421.037,"2,60%",8.572,17.828,106.790.000
Bangladesh,169.828.911,"2,10%",2.593,7.398,77.355.000
Russia,146.028.325,"1,80%",14.889,34.638,72.517.000
Mexico,130.575.786,"1,60%",14.157,23.900,60.959.000
Japao,123.210.000,"1,50%",32.476,46.850,69.382.000
Filipinas,114.123.600,"1,40%",3.985,10.137,50.979.000
Republica Democratica do Congo,112.832.000,"1,40%",647,1.338,38.546.000
Etiopia,111.652.998,"1,40%",1.011,2.813,54.470.000
Egito,107.271.260,"1,30%",3.339,15.096,33.749.000
Vietna,101.343.800,"1,20%",4.717,13.461,57.133.000
Ira,85.961.000,"1,00%",4.771,18.262,28.575.000
Peru,85.664.944,"1,00%",8.452,15.053,18.918.000
Alemanha,83.491.249,"1,00%",55.800,66.616,43.772.000
Reino Unido,69.281.437,"0,80%",52.637,57.461,35.359.000
